S.No,Name of CCA,Village,Country,Location,Ecosystem Type,Communities,Year of Formation,Data Source,References,,,,,,,,,,,,,,,
350,Tongdentsu,"Dibuia, Mokokchung",India,26.526056|94.492022,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
351,Totok Chingla,"Totok Chingla, Mon",India,26.52903|95.006111,Forest,"Tribe: Konyak, Dialect: Konyak",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
352,Tsatutsi,"Old thewati, Phek",India,25.558541|94.76458,Forest,"Tribe: Pochury, Dialect: Sanphuri ( Pochury )",1947,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
353,Tsuma Lemang Lu,"Mongsenyimti, Mokokchung",India,26.400111|94.605919,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
354,Tsumongkong,"Aliba, Mokokchung",India,26.380593|94.437882,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
355,Tsungnyisi,"Tsadang, Tuensang",India,26.24321|94.807291,Forest,"Tribe: Sangtam, Dialect: Sangtam",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
356,Tsushiyongpang,"Chungtiayimsen, Mokokchung",India,26.506661|94.411911,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
357,Tuhakuhuba,Lozaphuhu,India,25.566194|94.490111,Forest,,,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
358,Tuhakuhuba,"Lozaphuhu, Phek",India,25.637088|94.486414,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
359,Tuinei,"Chamcha, Peren",India,25.599611|93.562694,Forest,"Tribe: Kuki, Dialect: Kuki",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
360,Tupukhasii,"Reguri, Phek",India,25.538|94.658389,Forest,"Tribe: Pochury, Dialect: Yisi, Pochury",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
361,Tutheyu Reserve,"Tutheyu, Kiphire",India,25.818333|94.751667,Forest,"Tribe: Sangtam, Dialect: Sangtam",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
362,Tutheze reserve,"Ththeze, Kiphire",India,25.815278|94.798056,Forest,"Tribe: Tikhir, Dialect: Tikhir",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
363,Tzumalemang,"Wamaken, Mokokchung",India,26.708908|94.649717,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
364,Tzurmen Lu,"Yajang C, Mokokchung",India,26.697778|94.531111,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
365,Uzashuyong,"Old Riseths, Kiphire",India,25.967222|94.754167,Forest,"Tribe: Sangtam, Dialect: Sangtam",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
366,Viswema,"Viswema, Kohima",India,25.557647|94.143711,Forest,"Tribe: Angami, Dialect: Tenyidie",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
367,Wati Poyung,"Changlangshu, Mon",India,26.419944|95.010472,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
368,Watiyim,"Watiyim, Mokokchung",India,26.505487|94.379257,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
369,Wazaku LU,Changdang,India,26.588|94.452028,Forest,,-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
370,Wazasukong,"Kinunger, Mokokchung",India,26.373556|94.429203,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
371,Wazasukong,"Longjang, Mokokchung",India,26.442253|94.538442,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
372,Weitong,"Nokzang, Mon",India,26.975972|95.17,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
373,Whori,"Mokie, Phek",India,25.666355|94.762959,Forest,"Tribe: Pochury, Dialect: Phor ( Pochury )",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
374,Woka lu,"Akumen, Mokokchung",India,26.656111|94.531111,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
375,Wotsa,"Wetting, Mon",India,26.716139|95.181444,Forest,"Tribe: Konyak, Dialect: Konyak wetting",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
376,Wozho,"Lasumi village, Phek",India,25.538917|94.240556,Forest,"Tribe: Chakhesang, Dialect: Khezha",2006,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
377,Wui CCA,"Wui, Tuensang",India,26.24321|94.807291,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
378,Wuthoru,"Mokie, Phek",India,25.666355|94.762959,Forest,"Tribe: Pochury, Dialect: Phor ( Pochury )",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
379,Yachem Community Reserve,"Yachem Village, Longleng",India,26.521389|94.725278,Forest,"Tribe: Phom, Dialect: Yachem Dialect",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
380,Yalam,"Mon, Mon",India,26.734583|95.066278,Forest,"Tribe: Konyak, Dialect: Konyak",2006,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
381,Yangphi,"Changchor, Kiphire",India,25.933611|94.759444,Forest,"Tribe: Yimchunger, Dialect: Yimchunger , Chirr",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
382,Yanthong,"Yannu, Mon",India,26.722076|95.029206,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
383,Yeghubo,"Philimi, Zunheboto",India,26.070917|94.405528,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
384,Yoitephiio,"Ruzazho, Phek",India,25.757861|94.319528,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
385,yokao,"Yokao, Tuensang",India,26.102944|94.927722,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1995,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
386,Yokjang,"Angjangyang, Mon",India,26.485167|94.949222,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
387,Youngthuh,"Shamnyu, Mon",India,26.368|94.968889,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
388,Yowlampe,"Latsam, Phek",India,25.596306|94.799139,Forest,"Tribe: Pochury, Dialect: Laruri ( Pochury )",1972,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
389,Zang,"New Soget, Peren",India,25.475056|93.474961,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
390,Zangkham,"Zangkham, Mon",India,26.80485|95.158356,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
391,Zhingnyushang,"Sakshi, Longleng",India,26.385556|94.881389,Forest,"Tribe: Phom, Dialect: Phom",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
392,Zoa Dam,"Pang, Tuensang",India,25.945362|94.944626,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
